date,sector,exchange,averageChange
2025-07-31,Basic Materials,NASDAQ,0.3683785870010947
2025-07-30,Basic Materials,NASDAQ,-0.9686887479106066
2025-07-29,Basic Materials,NASDAQ,0.2805717802595309
2025-07-28,Basic Materials,NASDAQ,-0.26633976820261696
2025-07-25,Basic Materials,NASDAQ,0.15056970479698784
2025-07-24,Basic Materials,NASDAQ,0.8429441570013241
2025-07-23,Basic Materials,NASDAQ,-0.6435986587915665
2025-07-22,Basic Materials,NASDAQ,0.4156418247148519
2025-07-21,Basic Materials,NASDAQ,1.0969883265289804
2025-07-18,Basic Materials,NASDAQ,0.23071829041128034
2025-07-17,Basic Materials,NASDAQ,0.5641340556644225
2025-07-16,Basic Materials,NASDAQ,-0.20218137475318532
2025-07-15,Basic Materials,NASDAQ,-1.664741159645322
2025-07-14,Basic Materials,NASDAQ,0.049431330032634335
2025-07-11,Basic Materials,NASDAQ,0.04132739708251343
2025-07-10,Basic Materials,NASDAQ,-0.2892867381814712
2025-07-09,Basic Materials,NASDAQ,-0.1945375520592041
2025-07-08,Basic Materials,NASDAQ,0.2687794439378166
2025-07-07,Basic Materials,NASDAQ,-0.5442380240577305
2025-07-04,Basic Materials,NASDAQ,-0.1878247059537097
2025-07-03,Basic Materials,NASDAQ,-0.17878210684005857
2025-07-02,Basic Materials,NASDAQ,0.23199650508876068
2025-07-01,Basic Materials,NASDAQ,1.4728749320890966
2025-06-30,Basic Materials,NASDAQ,0.7087300073123304
2025-06-27,Basic Materials,NASDAQ,-0.1660453398512729
2025-06-26,Basic Materials,NASDAQ,0.7522485272533963
2025-06-25,Basic Materials,NASDAQ,-0.33800113674329335
2025-06-24,Basic Materials,NASDAQ,0.8134389858942992
2025-06-23,Basic Materials,NASDAQ,0.7039533047111357
2025-06-20,Basic Materials,NASDAQ,-1.6167790706890117
2025-06-19,Basic Materials,NASDAQ,-0.3378452248921304
2025-06-18,Basic Materials,NASDAQ,-0.337862537898892
2025-06-17,Basic Materials,NASDAQ,-0.7973268110042175
2025-06-16,Basic Materials,NASDAQ,-0.11767169116166931
2025-06-13,Basic Materials,NASDAQ,-0.7122855500791281
2025-06-12,Basic Materials,NASDAQ,0.5543964043929206
2025-06-11,Basic Materials,NASDAQ,-1.1596262490361275
2025-06-10,Basic Materials,NASDAQ,0.5615460761567714
2025-06-09,Basic Materials,NASDAQ,0.06144799437282078
2025-06-06,Basic Materials,NASDAQ,-0.2783278623501806
2025-06-05,Basic Materials,NASDAQ,-0.869462109551522
2025-06-04,Basic Materials,NASDAQ,0.3812782634209144
2025-06-03,Basic Materials,NASDAQ,2.0085519148780318
2025-06-02,Basic Materials,NASDAQ,-0.06986710005651986
2025-05-30,Basic Materials,NASDAQ,0.18156940709184166
2025-05-29,Basic Materials,NASDAQ,-0.011844483858769461
2025-05-28,Basic Materials,NASDAQ,-0.7976675036299397
2025-05-27,Basic Materials,NASDAQ,1.0447502243755347
2025-05-26,Basic Materials,NASDAQ,1.0728528549210026
2025-05-23,Basic Materials,NASDAQ,1.0694632044875974
2025-05-22,Basic Materials,NASDAQ,0.6273218960498372
2025-05-21,Basic Materials,NASDAQ,-0.26685849334496803
2025-05-20,Basic Materials,NASDAQ,-0.2475620674644019
2025-05-19,Basic Materials,NASDAQ,0.6222279633182115
2025-05-16,Basic Materials,NASDAQ,0.5199413041941048
2025-05-15,Basic Materials,NASDAQ,1.783388492074267
2025-05-14,Basic Materials,NASDAQ,-0.30832467086796544
2025-05-13,Basic Materials,NASDAQ,-0.7913314935589222
2025-05-12,Basic Materials,NASDAQ,-0.41697885361978715
2025-05-09,Basic Materials,NASDAQ,-0.4342625021776403
2025-05-08,Basic Materials,NASDAQ,0.6964571369122874
2025-05-07,Basic Materials,NASDAQ,0.42476140475764534
2025-05-06,Basic Materials,NASDAQ,-1.0599885736735981
2025-05-05,Basic Materials,NASDAQ,-0.1950548550451181
2025-05-02,Basic Materials,NASDAQ,0.3226635087923313
2025-05-01,Basic Materials,NASDAQ,2.2511946459190524
2025-04-30,Basic Materials,NASDAQ,0.9849990753987736
2025-04-29,Basic Materials,NASDAQ,0.24961381953807482
2025-04-28,Basic Materials,NASDAQ,-0.09094116345493841
2025-04-25,Basic Materials,NASDAQ,0.12362144949502607
2025-04-24,Basic Materials,NASDAQ,0.6516907097253721
2025-04-23,Basic Materials,NASDAQ,-1.1978724265248264
2025-04-22,Basic Materials,NASDAQ,1.2965197293563158
2025-04-21,Basic Materials,NASDAQ,0.565409851163623
2025-04-18,Basic Materials,NASDAQ,0.22701007468246548
2025-04-17,Basic Materials,NASDAQ,0.22701183256421675
2025-04-16,Basic Materials,NASDAQ,-0.5931627216498869
2025-04-15,Basic Materials,NASDAQ,0.34729286091466083
2025-04-14,Basic Materials,NASDAQ,0.6298642024260115
2025-04-11,Basic Materials,NASDAQ,0.46564245649629576
2025-04-10,Basic Materials,NASDAQ,-1.747590587137371
2025-04-09,Basic Materials,NASDAQ,7.773163072745448
2025-04-08,Basic Materials,NASDAQ,-4.114890572206697
2025-04-07,Basic Materials,NASDAQ,-0.6025174591311133
2025-04-04,Basic Materials,NASDAQ,-5.41062328012517
2025-04-03,Basic Materials,NASDAQ,0.13735511481010043
2025-04-02,Basic Materials,NASDAQ,1.5378162987163435
2025-04-01,Basic Materials,NASDAQ,1.0542502368461992
2025-03-31,Basic Materials,NASDAQ,1.4631768423073899
2025-03-28,Basic Materials,NASDAQ,-1.626634630252144
2025-03-27,Basic Materials,NASDAQ,0.5829632049398459
2025-03-26,Basic Materials,NASDAQ,0.788471414743297
2025-03-25,Basic Materials,NASDAQ,-0.12402053219121578
2025-03-24,Basic Materials,NASDAQ,0.490025471938238
2025-03-21,Basic Materials,NASDAQ,0.990259115024239
2025-03-20,Basic Materials,NASDAQ,0.3379704320409349
2025-03-19,Basic Materials,NASDAQ,0.1837025838162365
2025-03-18,Basic Materials,NASDAQ,-0.6912558603231034
2025-03-17,Basic Materials,NASDAQ,1.643662910949728
2025-03-14,Basic Materials,NASDAQ,0.24801105525467104
2025-03-13,Basic Materials,NASDAQ,0.7471365886273285
2025-03-12,Basic Materials,NASDAQ,-0.47093496675818525
2025-03-11,Basic Materials,NASDAQ,-1.4719456091614957
2025-03-10,Basic Materials,NASDAQ,-0.8330314400240679
2025-03-07,Basic Materials,NASDAQ,0.5545700077529414
2026-05-01,Communication Services,NASDAQ,0.3062097906999295
2026-04-30,Communication Services,NASDAQ,1.3822569432028864
2026-04-29,Communication Services,NASDAQ,0.41279700674448083
2026-04-28,Communication Services,NASDAQ,0.015283186955428185
2026-04-27,Communication Services,NASDAQ,1.1027805872255714
2026-04-24,Communication Services,NASDAQ,1.7057670413779702
2026-04-23,Communication Services,NASDAQ,-0.6346422628464077
2026-04-22,Communication Services,NASDAQ,0.33506825759812564
2026-04-21,Communication Services,NASDAQ,-1.0402473595047534
2026-04-20,Communication Services,NASDAQ,-1.168379310189216
2026-04-17,Communication Services,NASDAQ,1.2524814565068043
2026-04-16,Communication Services,NASDAQ,-0.29497028169154227
2026-04-15,Communication Services,NASDAQ,1.0490959274804146
2026-04-14,Communication Services,NASDAQ,2.661635724538658
2026-04-13,Communication Services,NASDAQ,1.0639102448962046
2026-04-10,Communication Services,NASDAQ,-0.8091452524113696
2026-04-09,Communication Services,NASDAQ,0.5577026244987682
2026-04-08,Communication Services,NASDAQ,-0.13052105396724745
2026-04-07,Communication Services,NASDAQ,0.7697160141616699
2026-04-06,Communication Services,NASDAQ,0.33451482068231897
2026-04-03,Communication Services,NASDAQ,1.6348622241935784
2026-04-02,Communication Services,NASDAQ,1.634862223575495
2026-04-01,Communication Services,NASDAQ,0.9436240553610364
2026-03-31,Communication Services,NASDAQ,3.448431865524615
2026-03-30,Communication Services,NASDAQ,-0.5216026045274158
2026-03-27,Communication Services,NASDAQ,-1.6589593825568572
